id,trigger,conditions,script,text,options,notes
,,,,,,
greetingPLSPFriendly,OpenCommLink,"$faction.id == plsp
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","$personName makes a standard military salute, ""Greetings, ally. What is it that you need assistance with?""
OR
""Identity confirmed, ally. May I ask what you are doing?""
OR
""Welcome to Polaris space, distinguished friends!""",,
greetingPLSPHostileWeaker,OpenCommLink,"$faction.id == plsp
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"""Since this is Polaris territory, we will fight endlessly to protect it!"" $personName chest shows $hisOrHer $personRank badge of identity, shining proudly. 
OR
This $personRank does not hesitate, ""There is nothing to be said, prepare your fleet for battle.""",cutCommLink:Cut the comm link,
greetingPLSPHostileWeakerDefiant,OpenCommLink,"$faction.id == plsp
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"""Do not act rashly! No matter what further actions you take, you will be severely punished.""
OR
""This is $personRank $personName! We have caught up with the enemy, requesting..."" The sound is gradually lost in the interference of battle. Quite obviously, this message is not for you. 
OR
The officer salutes the star solemnly, ""We are the Astral Wall, never to retreat! """,cutCommLink:Cut the comm link,
greetingPLSPHostileStronger,OpenCommLink,"$faction.id == plsp
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""Today is your day to say goodbye to the observable universe."" $personName does not show a single hint of nervousness. 
OR
""Needless to say, Polaris does not care about your last words.""
OR
""Eliminate this ignorant soul."" The officer does not even spare you a second glance before disconnecting.",cutCommLink:Cut the comm link,
greetingPLSPTOffNormal,OpenCommLink,"$faction.id == plsp
!$isHostile
!$player.transponderOn
$entity.relativeStrength >= 0",,"""Turn on your transponder immediately, or be suppressed like a common thug.""","turnOnTransponder:Turn your transponder on
cutCommLink:Cut the comm link",
greetingPLSPTOffWeaker,OpenCommLink,"$faction.id == plsp
!$isHostile
!$player.transponderOn
$entity.relativeStrength < 0",,"""I'm warning you, there is no hiding in Polaris space.""","turnOnTransponder:Turn your transponder on
cutCommLink:Cut the comm link ",
greetingPLSPNeutral,OpenCommLink,"$faction.id == plsp
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","$personName seems to open a recording device as $heOrshe speaks, ""What's the matter, stranger?""
OR
""Identity confirmed. Please verify the purpose of your trip and cooperate with our inspection.""
OR
""I've validated the Armed Fleet Temporary Pass, you are allowed to pass during its period. To ensure the safety of the Sector, please send any useful route information to the local military post whenever necessary.""",,
,,,,,,
,,,,,,
,,,,,,
aiCores_turnInOptionSelPLSP,DialogOptionSelected,"$option == aiCores_startTurnIn
$faction.id == plsp",FireAll PopulateCoresTurnInOptions,"""They are only roughly as important to us as a few pods of quality Celestite. But more is better, and Polaris will not shortchange a captain who has the guts to turn in such dangerous goods.""",,
aiCores_turnInResponsePLSP,AICoresTurnedIn,$faction.id == plsp,FireAll PopulateOptions,$PersonRank $personLastName gave you a strong military salute to show appreciation and the conversation moves on to other matters.,,
,,,,,,
,,,,,,
,,,,,,
relLevelNeutralPLSP,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == plsp",,"$theFaction treats you like a stranger, discreetly and conservatively. Although you can apply for a temporary pass from the authorities without any problems, don't expect them to look at you with a little more enthusiasm than they do pirates. ",,
relLevelFavorablePLSP,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == plsp",,"Being judged to be of good character by the $theFaction officer corps means that you have an easier time getting in and out of the jurisdiction and trading in the country, as well as access to the $theFaction military market, which is rare. ",,
relLevelWelcomingPLSP,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == plsp",,"Your name was already well known to most officers, and your reputation in the faction has made even the few radicals less likely to provoke you. ",,
relLevelFriendlyPLSP,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == plsp",,"You hold a very important position among $theFaction's allies, and some of the senior officers will even exchange pleasantries when they pass by you, with honors coming your way. ",,
